"","goodsname","goodsprice"
"203","코카)토레타240ML",1200
"204","파워에이드)마운틴블러스트600ML",2000
"205","파워에이드)마운틴블러스트240ML",1000
"206","코카)태양의식후비법W차500ML",1800
"207","조지아)고티카빈티지라떼270ML",2200
"208","조지아)고티카빈티지블랙270ML",2200
"209","조지아)고티카스위트아메270ML",2200
"210","미닛메이드)오렌지350ML",1950
"211","미닛메이드)포도350ML",1950
"212","코카)환타파인PET600ML",1900
"213","코카)스프라이트PET500ML",1800
"214","롯데)숙취해소깨수깡160ML",5000
"215","롯데)핫식스250ML",1500
"216","롯데)핫식스팬시캔디250ML",1500
"217","롯데)2%부족할때(복숭아)500ML",1800
"218","롯데)2%부족할때자두500ML",1800
"219","롯데)2%아쿠아500ML",1800
"220","롯데)트레비라임500ML",1800
"221","롯데)트레비레몬500ML",1800
"222","롯데)트레비자몽500ML",1800
"223","롯데)아이시스8.0(500ML)",950
"224","롯데)아이시스에코2L-PLU판매",1600
"225","롯데)아이시스에코500ML-PLU판매",900
"226","칸타타)콘트라베이스라떼PET500",2500
"227","칸타타)콘트라베이스블랙PET500",2500
"228","칸타타)콘트라베이스스윗PET500",2500
"229","칸타타)땅콩크림라떼275ML",2200
"230","칸타타)아메리카노275ML(NB캔)",2200
"231","칸타타)콜드브루블랙275ML(NB캔)",2200
"232","칸타타)프리미엄라떼275ML(NB캔)",2200
"233","롯데)레쓰비연유커피240ML",1200
"234","레쓰비)카페타임라떼240ML",1100
"235","레쓰비)카페타임아메리카노240ML",1100
"236","롯데)핑크퐁오렌지망고235ML",1200
"237","롯데)핑크퐁포도사과235ML",1200
"238","롯데)펩시제로500ML",1800
"239","롯데)칠성사이다복숭아500ML",2100
"240","롯데)칠성사이다청귤500ML",2100
"241","롯데)칠성스트롱사이다400ML",1700
"242","롯데)펩시스트롱400ML",1700
"243","롯데)칠성사이다캔330ML",1700
"244","하이트)블랙보리340ML",1200
"245","하이트)블랙보리520ML",1600
"246","하이트)블랙보리라이트520ML",1500
"247","말리)홈스타일망고주스250ML",1500
"248","말리)홈스타일오렌지주스250ML",1500
"249","팜트리)궁중홍삼쌍화100ML",1500
"250","팜트리)궁중발효홍삼100ML",2200
"251","GS)샤인머스캣향스파클링350ML",1200
"252","남양)십칠차500ML",1500
"253","남양)초코에몽캔200ML",1000
"254","정관장)홍삼원골드100ML(파우치)",1500
"255","모구모구큐브)리치320ML",1500
"256","모구모구큐브)청포도320ML",1500
"257","GS)목에좋은도담차500ML",1600
"258","팔도)비락식혜캔340ML",1300
"259","바이오티)프리바이오틱스피치",1500
"260","매일)셀렉스프로틴드링크330ML",2900
"261","매일)99.89두유190ML",1000
"262","매일)두유식이섬유190ML",1000
"263","자연)톡터질수박에500ML",1700
"264","OKF)비타민C레몬스파클링500ML",1800
"265","OKF)골드유자500ML",2000
"266","OKF)레몬진저500ML",2000
"267","유어스)진심가득수박330ML",1800
"268","유어스)하늘가득사과330ML",1800
"269","유어스)하늘가득유자레몬330ML",1800
"270","유어스)하늘가득자몽330ML",1800
"271","동아)컨피던스병230ML",1500
"272","해태)구운감자900",900
"273","해태)구운고구마900",900
"274","해태)맛동산2000",2000
"275","해태)맛동산블랙90G",2000
"276","해태)구운양파1500",1500
"277","해태)무지방우유홈런볼1500",1500
"278","해태)빠닭1500",1500
"279","해태)허니버터칩프로마쥬블랑60G",1500
"280","동화약품)부채표미인활액75ML",1000
"281","활황)레모나스파클링400ML",1700
"282","활황)우유스파클링350ML",1500
"283","활황)요구르트스파클링350ML",1500
"284","동원)양반배식혜500ML",1800
"285","유어스(P)지리산하동녹차500ML",2000
"286","진로)토닉워터300ML",1400
"287","쟈뎅)시그니처(헤이즐넛)1.1L",3900
"288","쟈뎅)시그니처아메(블랙)1.1L",3900
"289","쟈뎅)시그니처아메(스위트)1.1L",3900
"290","아워티)레몬얼그레이티500(신)",2000
"291","아워티)오렌지자몽블랙티500(신)",2000
"292","S&P)카카오랏미니브릭200ML",1200
"293","웅진)꿀먹은초록매실180ML",1300
"294","웅진)아침햇살340ML",1500
"295","웅진)자연은토마토340ML",1500
"296","웅진)초록매실340ML",1500
"297","유어스)샤인머스캣500ML",1900
"298","웅진)광명찾은결명자차500ML",1500
"299","웅진)누룽지차500ML",1500
"300","웅진)하늘보리PET500ML",1500
"301","가야)알로에농장500ML",1900
"302","에비앙생수500ML",1900
"303","트로피카나)스파클링망고355ML",1200
"304","트로피카나)스파클링복숭아355ML",1200
"305","트로피카나)스파클링오렌지355ML",1200
"306","유어스)보솜이물티슈60매(캡형)",5700
"307","유어스)보솜이물티슈20매",2000
